"session_id","service_id","created_by","updated_by","created_at","updated_at"
d57df4a0-20ee-469a-8615-69fba8031076,"12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 07:01:19.376,2023-07-25 07:01:19.376
e2f35e37-8e40-4b53-bb38-8bff2e7f441c,"12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 07:03:48.603,2023-07-25 07:03:48.603
"3e97c15b-a4ca-417d-af09-e0104035fbec","39718829-c72c-4fe6-9c44-2472df782c94","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-07-25 07:12:00.159,2023-07-25 07:12:00.159
f1a9b6a3-0280-4c7f-84c4-66de2c97bf98,"12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 09:19:35.866,2023-07-25 09:19:35.866
e8d814d4-db15-4c1d-b69e-b39a5b451592,"12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 09:25:58.001,2023-07-25 09:25:58.001
"1a12cf4a-34ef-4950-be56-65eb112f15fb","12328e8a-f6ac-4721-962d-972562c4228a","99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-07-25 09:50:55.770,2023-07-25 09:50:55.770
eb050abe-a95d-4af5-a6ae-55c60b0dd1d8,"12328e8a-f6ac-4721-962d-972562c4228a",f5138b61-8012-4854-a13f-86841ff6224b,f5138b61-8012-4854-a13f-86841ff6224b,2023-07-25 10:07:59.525,2023-07-25 10:07:59.525
"3e0c97b6-29a4-4ba6-8440-814a6b4a8cdb","961ba4ba-b842-41e6-96ca-c7da02b93dfa","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 11:25:42.181,2023-07-25 11:25:42.181
daa68179-c8a1-4c3f-9fb0-032d28b0a194,"961ba4ba-b842-41e6-96ca-c7da02b93dfa","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-25 11:40:13.374,2023-07-25 11:40:13.374
"54984123-08f8-4866-9f63-0bad70a937eb",f565ef94-f446-4854-8e00-4f3b607c4ac4,d512572b-878d-44c1-aa08-e13006ec92c8,d512572b-878d-44c1-aa08-e13006ec92c8,2023-07-25 14:49:04.384,2023-07-25 14:49:04.384
"0a08bcf1-4926-4d16-84bc-ad89f1088e9a","25541bc7-eb6b-4114-9e01-dfee3aa1e550",a45afbc9-a2a0-4819-ada1-9a07a096a98d,a45afbc9-a2a0-4819-ada1-9a07a096a98d,2023-07-25 15:08:20.354,2023-07-25 15:08:20.354
"0debda3e-d0e8-4d44-8106-120e6a5e192f","0177a83a-8eee-4117-87b0-e5ffc68bc331","1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-08-04 11:15:17.840,2023-08-04 11:15:17.840
a4a61e5f-6fee-400f-aa82-bbbc5e27dbfc,"12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-05 08:29:00.979,2023-08-05 08:29:00.979
"9b315407-e7ae-44ad-acee-f899e56d35e7","8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f","99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-07-25 15:48:33.678,2023-07-25 15:48:33.678
"09381bb2-3c02-459b-ad0c-e308c412f23b","12328e8a-f6ac-4721-962d-972562c4228a","99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-07-25 15:50:24.546,2023-07-25 15:50:24.546
"6178b7fd-6621-42d2-9809-66ebbb63582a","8bda31cf-71f6-4da7-b76d-73f03f5edd86","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-04 03:27:32.606,2023-08-04 03:27:32.606
b2aca1f9-68ce-48c5-b084-7f6ed7e56c59,b6d0de94-1ee0-44e3-a5de-028cccea511a,"64a009c8-5f70-4c73-9183-9cd48b57eb90","64a009c8-5f70-4c73-9183-9cd48b57eb90",2023-08-04 05:45:50.137,2023-08-04 05:45:50.137
f21a5460-556f-4fd3-b666-8c95b45a2005,"12328e8a-f6ac-4721-962d-972562c4228a","99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-07-25 15:55:35.229,2023-07-25 15:55:35.229
a542db2f-b58b-4f5c-b29e-0997e9b6385e,e8ccdf5c-bb40-4d06-a1a5-7b1149c713ef,a45afbc9-a2a0-4819-ada1-9a07a096a98d,a45afbc9-a2a0-4819-ada1-9a07a096a98d,2023-07-25 17:07:31.187,2023-07-25 17:07:31.187
"4dee5426-581e-4bbf-83c7-ab60c64eedcc","12328e8a-f6ac-4721-962d-972562c4228a","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-04 10:01:16.961,2023-08-04 10:01:16.961
dadb3fe6-3c55-4112-94d9-299e48354899,ff78318a-980f-45d1-9534-e9046885be7e,a45afbc9-a2a0-4819-ada1-9a07a096a98d,a45afbc9-a2a0-4819-ada1-9a07a096a98d,2023-07-25 19:58:31.303,2023-07-25 19:58:31.303
f832a884-b684-4e19-af60-7d03294dd892,"5dc79838-086a-47e9-bd5b-38d19edadfaf","6b37efc0-2f44-4b8c-b83a-ec3a15ce653f","6b37efc0-2f44-4b8c-b83a-ec3a15ce653f",2023-07-25 19:59:55.848,2023-07-25 19:59:55.848
